IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
Mariya Abe,Mariya Abe,1690,South Korea,999,999,False,False,1143.8623773948568,1180.5221226907283,1182.7848178411432,1300.0,1281.5843943709217,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Elsa Tanglander,Elsa Tanglander,3070,Sweden,999,999,False,False,1258.7276301989596,1299.2105818702291,1256.7135814497665,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Ronja Rietveld,Ronja Rietveld,2886,Switzerland,999,999,False,False,1122.1160422855858,1258.97326234172,1165.8529532374637,1300.0,1278.4520140813538,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Kristina Titiyevskaya,Kristina Titiyevskaya,2634,Kazakhstan,999,999,False,False,1063.530549232704,1184.3620557281542,1096.408179616673,1300.0,1296.8724327121067,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Guro Femsteinevik,Guro Femsteinevik,2909,Norway,999,999,True,False,1276.6995899261656,1296.8608727103767,1295.1759945724875,1300.0,1276.943953080503,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Kaia Wulff Berntsen,Kaia Wulff Berntsen,3075,Norway,999,999,True,False,1259.8701657494655,1300.0,1277.8589635853264,1300.0,1276.8075298040812,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Mariya Poldyayeva,Mariya Poldyayeva,2962,Kazakhstan,999,999,False,False,1156.1628110480067,1238.684543690001,1206.6821360850186,1300.0,1299.1477396266696,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Emilie Stavik,Emilie Stavik,2897,Norway,999,999,True,False,1287.5830681317314,1300.0,1294.506991587208,1300.0,1289.4611138748903,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Saga Hurskainen,Saga Hurskainen,3023,Finland,999,999,False,False,1220.7638157306142,1293.313387376333,1229.261248895991,1300.0,1298.4395367140407,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Andreea Schiop,Andreea Schiop,2973,Romania,999,999,False,False,1093.476334688319,1237.791373708138,1115.8928971798618,1300.0,1288.2101582455625,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
