"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Elo","Individual_Elo","Sprint_Elo","MassStart_Elo","IndividualCompact_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Sex"
"Nico Zarucchi","Nico Zarucchi",1916,"Switzerland",999,999,"False","False",NA,1090.66413222192,1065.27733150423,1300,1291.94061597582,1222.32254366539,1291.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Kaisei Mori","Kaisei Mori",2422,"Japan",999,999,"False","False",NA,1238.65335166885,1263.68992443443,1264.85459604425,1291.94061597582,1290.6463174276,1291.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Maximilian Uhr","Maximilian Uhr",2425,"Germany",999,999,"False","False",NA,1273.76705990939,1246.41921664928,1300,1291.43435377701,1292.15283599253,1291.43435377701,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Milosz Krzempek","Milosz Krzempek",2360,"Poland",999,999,"False","False",NA,1090.87645685096,1075.1121214988,1264.85459604425,1290.94061597582,1252.98949743652,1290.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Finn Kempf","Finn Kempf",2067,"Switzerland",999,999,"False","False",NA,1240.42343136322,1203.25774805727,1300,1290.43866598693,1280.0658008919,1290.43866598693,0,"Seefeld","Austria","Mass Start","01/30/2026",0,1,"M"
"Albin Stenzel","Albin Stenzel",2311,"Germany",999,999,"False","False",NA,1146.8065623944,1126.96360079863,1300,1289.35489966328,1278.15223010603,1289.35489966328,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Jonathan Gräbert","Jonathan Gräbert",2421,"Germany",999,999,"False","False",NA,1287.04210159271,1316.29857746136,1300,1287.62153957639,1248.86126225679,1287.62153957639,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Benedikt Grabert","Benedikt Grabert",2318,"Germany",999,999,"False","False",NA,1284.04297631252,1321.02570508418,1264.85459604425,1287.61056967849,1249.84963375276,1287.61056967849,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Per Einar Skjæret Strømhaug","Per Einar Skjæret Strømhaug",1699,"Norway",999,999,"False","False",NA,1339.67160438038,1349.70435912783,1300,1285.42017576372,1305.50739425977,1285.42017576372,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Jan Andersen","Jan Andersen",1901,"Germany",999,999,"False","False",NA,1274.58616627554,1275.17019590911,1300,1283.24721717856,1266.04615086709,1283.24721717856,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.037037037037037,"M"
"Lucas Mach","Lucas Mach",2020,"Germany",999,999,"False","False",NA,1162.12432913183,1164.00138225606,1300,1283.1112889777,1277.028589368,1283.1112889777,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Radim Sudek","Radim Sudek",2023,"Czechia",999,999,"False","False",NA,1108.79602691231,1110.65122606998,1264.85459604425,1282.1112889777,1248.48575545439,1282.1112889777,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
