"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Length1","Length2","Points","Hill_Size","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"Benjamin Østvold","Benjamin Østvold",2546,"Norway",999,999,"False","False",NA,NA,NA,NA,137,1258.47565230767,1298.0875,1296.24673698786,1282.34680357131,1274.41210838719,1264.84529454799,1258.47565230767,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Klemens Joniak","Klemens Joniak",2568,"Poland",999,999,"False","False",NA,NA,NA,NA,137,1249.71666305311,1298.0875,1296.24673698786,1255.70365933667,1256.81225460111,1259.08773099495,1249.71666305311,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Killian Peier","Killian Peier",882,"Switzerland",999,999,"False","False",NA,NA,NA,NA,137,1232.71487155518,1298.0875,1296.24673698786,1256.54958805167,1250.29183018181,1227.33930119667,1232.71487155518,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Qiwu Song","Qiwu Song",2559,"China",999,999,"False","False",NA,NA,NA,NA,137,1224.25951067968,1298.0875,1296.24673698786,1221.50503087913,1239.90428961269,1259.08773099495,1224.25951067968,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Felix Trunz","Felix Trunz",2654,"Switzerland",999,999,"False","False",NA,NA,NA,NA,137,1198.67779455141,1298.0875,1296.24673698786,1239.80700335053,1201.24771919875,1287.12280614274,1198.67779455141,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Lovro Kos","Lovro Kos",2405,"Slovenia",999,999,"False","False",NA,NA,NA,NA,137,1198.32886114577,1298.0875,1296.24673698786,1395.99583464074,1205.65228036825,1327.81371714346,1198.32886114577,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Giovanni Bresadola","Giovanni Bresadola",2277,"Italy",999,999,"False","False",NA,NA,NA,NA,137,1181.16713816743,1298.0875,1296.24673698786,1139.91693616249,1192.54642225557,1289.58219175816,1181.16713816743,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Remo Imhof","Remo Imhof",2569,"Switzerland",999,999,"False","False",NA,NA,NA,NA,137,1178.56277314222,1298.0875,1296.24673698786,1281.73364344181,1192.19804105482,1254.22843560307,1178.56277314222,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Enzo Milesi","Enzo Milesi",2507,"France",999,999,"False","False",NA,NA,NA,NA,137,1174.65594778263,1298.0875,1296.24673698786,1259.24355984742,1190.43206659467,1279.01702683459,1174.65594778263,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Jules Chervet","Jules Chervet",2571,"France",999,999,"False","False",NA,NA,NA,NA,137,1166.61131338581,1298.0875,1296.24673698786,1229.80700335053,1195.67079132825,1259.08773099495,1166.61131338581,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Jarkko Määttä","Jarkko Määttä",53,"Finland",999,999,"False","False",NA,NA,NA,NA,137,1164.27932834409,1298.0875,1296.24673698786,1199.23668652751,1166.49260636824,1205.83450922801,1164.27932834409,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Alex Insam","Alex Insam",915,"Italy",999,999,"False","False",NA,NA,NA,NA,137,1160.69448346495,1298.0875,1296.24673698786,1169.19467517394,1197.9262630958,1253.31772621591,1160.69448346495,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Hektor Kapustik","Hektor Kapustik",2674,"Slovakia",999,999,"False","False",NA,NA,NA,NA,137,1159.36905165751,1298.0875,1296.24673698786,1219.80700335053,1193.06807129441,1259.08773099495,1159.36905165751,0,"Oberstdorf","Germany","Large","12/28/2025","M"
