FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
AABREKK Ingrid Bergene,Ingrid Bergene Aabrekk,6828.0,Norway,True,False,False,263,1557.119720812162,1228.1598907257066,1245.2228212819164,1240.5384463827347,1569.398180391859,1452.683066677736,1476.6054486336886,1484.6253569810192,1453.9632215754627,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
NISSINEN Vilma,Vilma Nissinen,3034.0,Finland,True,False,False,258,1538.8443071226718,1534.036636462375,1393.766860733539,1442.8494171456691,1291.8784838660995,1284.2149340898363,1280.7124045550167,1394.5705669445622,1512.3767656976815,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
RYYTTY Vilma,Vilma Ryytty,6607.0,Finland,True,False,False,233,1591.0862398331146,1590.497407279424,1309.6693858748852,1474.7521686229177,1259.2486007284551,1239.0261308575673,1244.8403247236638,1311.0703504699295,1551.1259990867118,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
EIDUKA Patricija,Patricijia Eiduka,3240.0,Latvia,True,False,False,233,1531.8910347773683,1515.0277506905131,1321.8171495731272,1472.439624095545,1419.7009328977997,1234.4130451610513,1452.4620013252743,1311.1323643790615,1531.449616651587,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
INGEBRIGTSEN Eva,Eva Ingebrigtsen,10145.0,Norway,True,False,False,233,1404.8440202529378,1409.64951473483,1293.4595179147989,1240.5384463827347,1241.1176710362263,1239.0261308575673,1240.3067141883955,1293.6793160991228,1225.5371447575071,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
TIRLOY Margot,Margot Tirloy,10829.0,France,True,False,False,233,1287.040334619143,1287.7128734830526,1245.2228212819164,1290.2452882048842,1241.1176710362263,1239.0261308575673,1240.3067141883955,1233.698673495549,1287.7723125087816,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
WERRO Giuliana,Giuliana Werro,3230.0,Switzerland,True,False,False,233,1271.4813584104063,1271.7474637605978,1345.5965416502163,1258.8391501579254,1238.0190355096977,1239.0261308575673,1219.9914321239385,1347.2160766629763,1268.5358631966717,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MANDELJC Anja,Anja Mandeljc,1868.0,Slovenia,True,False,False,232,1318.6301439746403,1375.3105414125143,1258.7039221989646,1348.2481755958006,1189.5340096955536,1221.8731060057376,1193.6335162746752,1253.0170416188391,1316.8642038205485,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
DROLET Jasmine,Jasmine Drolet,6656.0,Canada,True,False,False,232,1267.810861445437,1262.2058994628962,1278.318262567274,1271.6786763941436,1294.6822127829878,1287.092701615981,1240.3067141883955,1273.4569794104732,1275.7189749939337,5,False,5,1.0,,,,,
KAASIKU Keidy,Keidy Kaasiku,4942.0,Estonia,True,False,False,232,1249.7577163268857,1287.8843253812004,1291.3445222596504,1285.1199170578898,1188.7877527759929,1182.0815066616688,1254.2142672205898,1163.4919549692718,1298.5790260981332,4,False,4,1.0,1.0,1.0,1.0,1.0,1.0
