FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob
Darya Kokorina,Darya Kokorina,-205216,Russia,False,False,False,0,1136.0682327619054,1182.0589095696655,1256.3509536378988,1237.370532241987,1225.2736477975225,1258.636241408626,1244.4212646679125,1226.4251087536315,1193.8255842178355,2,False,2,0.0,0.0
Eva Helene Andberg,Eva Helene Andberg,10529,Norway,False,True,False,0,1135.4600139911684,1172.748682457403,1249.8310402915558,1232.283477838923,1245.5003380160188,1277.4427609557822,1255.2352765796495,1229.127670600038,1189.0334878239105,6,False,6,,0.0
Tomoko Yamada,Tomoko Yamada,7168,Japan,False,False,False,0,1132.8782304188635,1161.3996521733975,1235.1954516825706,1228.3749431315769,1254.4281632587715,1271.644779544186,1279.0230452574126,1207.7124270118454,1198.797678129975,3,False,3,0.0,0.0
Tabitha Williams,Tabitha Williams,7360,Great Britain,False,False,False,0,1132.8025808137515,1156.6887822703482,1227.0379028467096,1215.4510228290671,1221.3905156755177,1280.7429056393362,1177.1503084524393,1233.2615759430971,1157.3465829171532,2,False,2,0.0,0.0
Anastasiya Chuprun,Anastasiya Chuprun,6169,Russia,False,False,False,0,1132.383697079703,1172.4992932355833,1249.9345716212572,1217.5653749764228,1220.6616535265382,1255.240273624138,1244.281727412914,1215.3023727521854,1178.3866474291372,2,False,2,0.0,0.0
Mia Mossige,Mia Mossige,8479,Norway,False,True,False,0,1131.0254083628115,1148.8168662704677,1232.5368727861085,1216.082248587937,1247.5207343516677,1279.4260296832651,1264.796783600778,1210.379769391325,1195.533900790278,6,False,6,,0.0
Nelly Stenman,Nelly Stenman,10147,Sweden,False,True,False,0,1130.847465590186,1158.9244163240446,1229.9773952151836,1223.8897541088284,1232.9787318577803,1266.6087966429031,1257.372746195778,1204.3132967695967,1190.9718981514775,6,False,6,,0.0
Ida Andersson,Ida Andersson,6936,Sweden,False,True,False,0,1130.0135345701028,1133.9764954328853,1218.214121189247,1189.3662963601353,1216.604353045651,1253.166729873189,1244.5682192367287,1187.9925105441014,1168.1604512762203,6,False,6,,0.0
Victoria Nitteberg,Victoria Nitteberg,10355,Norway,False,True,False,0,1128.8239958651093,1157.193390199447,1214.39143346547,1246.144202248371,1230.0324960665166,1245.940722931531,1271.1146695491072,1178.027784879814,1219.764356243684,6,False,6,,0.0
Lone Lorgen Øvrebust,Lone Lorgen Øvrebust,10348,Norway,False,True,False,0,1128.491785623299,1128.335556797712,1226.2653891228435,1185.828777385993,1258.4220576912055,1285.4129788675143,1266.0128638750257,1214.184725120174,1170.7682373007112,6,False,6,,0.0
Eva Mocnik,Eva Mocnik,9094,Slovenia,False,False,False,0,1125.6613853168194,1178.740710964426,1241.1189313288469,1257.8793872228443,1237.6384569164486,1276.6166943927535,1216.1907488763534,1227.438841144268,1180.6581549868529,4,False,4,0.0,0.0
Alesya Rushentseva,Alesya Rushentseva,6509,Russia,False,False,False,0,1123.2563006313642,1178.3092888431686,1229.7252327089604,1230.634517247742,1189.9619367080072,1245.9021923425614,1209.3212304147196,1201.1650056370383,1173.6977810436042,2,False,2,0.0,0.0
Irina Solovieva,Irina Solovieva,9266,Russia,False,False,False,0,1122.1571207483678,1166.439109391818,1251.889761058367,1222.573631372544,1211.7602910497617,1247.9271823694598,1245.8842446482256,1208.77100765242,1187.6615991925978,2,False,2,0.0,0.0
Moa Hedman,Moa Hedman,11123,Sweden,False,True,False,0,1121.1592106192122,1154.5575919962032,1226.019436051212,1223.1038880640178,1236.892647328193,1270.3426035520386,1259.6284474570978,1200.069182152942,1187.9660836913956,6,False,6,,0.0
Synne Børresen Bollingmo,Synne Børresen Bollingmo,6785,Norway,False,True,False,0,1120.4344579668475,1148.5022653284657,1220.4151580876462,1224.9375445549742,1211.764576019841,1248.7749953767182,1252.95441033663,1185.5087615035386,1195.7033642296635,6,False,6,,0.0
Ella Georgsson,Ella Georgsson,7892,Sweden,False,True,False,0,1119.497582845627,1157.610846165925,1221.48025375241,1232.0825301652285,1228.8795925119637,1258.2233494567004,1259.3567606800289,1187.0718093526134,1198.9453602296774,6,False,6,,0.0
Hannah Schjetne,Hannah Schjetne,11170,Norway,False,True,False,0,1114.2862614775602,1143.396727222693,1224.1573236459108,1220.1271392321332,1230.1384951282778,1246.4094604197812,1273.8844520667517,1175.8303562158185,1201.4395696591946,6,False,6,,0.0
Heli Laajoki,Heli Laajoki,10624,Australia,False,False,False,0,1112.443222474922,1166.7358362705586,1237.434651809128,1238.7016564227158,1227.5385695434709,1234.3581951245949,1292.817455863845,1176.2876014046,1209.927362829222,3,False,3,0.0,0.0
Yelizaveta Nopriienko,Yelizaveta Nopriienko,10799,Ukraine,False,False,False,0,1111.8359171472916,1155.109236673487,1211.0840483976335,1236.4831363525536,1210.052071794836,1197.9013107357382,1276.503396382983,1149.1562864252635,1215.968717459971,3,False,3,0.0,0.0
Celina Karin Staurland Staavi,Celina Karin Staurland Staavi,6859,Norway,False,True,False,0,1111.2314709159332,1130.4037860174385,1221.0615632328288,1199.9230258802695,1234.3663782538204,1251.865270679065,1272.8338028276798,1182.358243140919,1183.0655359530413,6,False,6,,0.0
