FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
GANZ Caterina,Caterina Ganz,ITA,True,610,ITALY I,6,,6-2,Relay,1468.9193809101855,1434.0275796400692,1422.3662229995207,1332.533186261261,1407.122349220102,1398.2149205083654,1343.0114055071708,1460.060975649176,1364.6063386424737,1721.0,03/07/25,Trondheim,Norway
GISMONDI Maria,Maria Gismondi,ITA,True,212,ITALY I,6,,6-3,Relay,1283.1502799671905,1280.0148577110374,1300.5955797440329,1270.862803736659,1242.4948949983427,1240.3302620345107,1239.2958542073277,1301.5971968257788,1269.510581140874,10867.0,03/07/25,Trondheim,Norway
DI CENTA Martina,Martina di Centa,ITA,True,231,ITALY I,6,,6-4,Relay,1290.8514533391608,1286.7055513649818,1250.9878984242032,1269.3945024820966,1219.2775844735836,1249.6991248782165,1211.4088920490524,1254.7507788959824,1267.283247911188,9084.0,03/07/25,Trondheim,Norway
MACKIE Alison,Alison Mackie,CAN,True,230,CANADA I,7,,7-1,Relay,1300.717621748406,1269.0223702667438,1289.318651078907,1266.6718032661795,1323.9960120344526,1293.2785361586114,1338.9059191851777,1286.1405938571374,1300.9098713902267,10185.0,03/07/25,Trondheim,Norway
STEWART-JONES Katherine,Kathrine Stewart-Jones,CAN,True,488,CANADA I,7,,7-2,Relay,1423.44828256074,1445.3268356279652,1387.968334031288,1390.3128509030453,1225.216319590173,1210.0633690591665,1247.98284598444,1329.0005462634724,1399.682089273352,1676.0,03/07/25,Trondheim,Norway
GAGNON Liliane,Liliane Gagnon,CAN,True,269,CANADA I,7,,7-3,Relay,1377.947203254049,1320.861989145216,1259.1605520785372,1322.3195212066023,1352.6575815738488,1266.7168774775632,1386.4431205807898,1253.083101047491,1391.2367624700978,7427.0,03/07/25,Trondheim,Norway
SCHMIDT Sonjaa,Sonjaa Schmidt,CAN,True,229,CANADA I,7,,7-4,Relay,1308.7640403899454,1266.8501137966755,1246.6314369514614,1293.8359926837786,1331.0635292111135,1255.345138997408,1375.652951067067,1227.4858871479928,1348.881135991957,7874.0,03/07/25,Trondheim,Norway
JANATOVA Katerina,Katerina Janatova,CZE,True,2236,CZECH REPUBLIC I,8,,8-1,Relay,1556.7203326782146,1508.0398919243364,1386.518575117544,1469.5340383629934,1518.839366287806,1364.3893507128157,1587.0576476941767,1408.405092325279,1586.1625562444433,3198.0,03/07/25,Trondheim,Norway
JAKLOVA Anna Marie,Anna Marie JAKLOVA,CZE,True,215,CZECH REPUBLIC I,8,,8-2,Relay,1219.7961500087285,1223.8207403736028,1231.9109136637512,1239.845211319176,1242.4948949983427,1240.3302620345107,1239.2958542073277,1225.3649940946461,1227.6833102182936,,03/07/25,Trondheim,Norway
HAVLICKOVA Barbora,Barbora Havlickova,CZE,True,229,CZECH REPUBLIC I,8,,8-3,Relay,1179.8978035929188,1185.8848506332895,1225.4410607761145,1202.372669603858,1246.956889478532,1262.105581587998,1258.9136332016046,1217.2836645327086,1180.9464894234047,3216.0,03/07/25,Trondheim,Norway
MILERSKA Anna,Anna MILERSKA,CZE,True,0,CZECH REPUBLIC I,8,,8-4,Relay,1219.7961500087285,1223.8207403736028,1231.9109136637512,1239.845211319176,1242.4948949983427,1240.3302620345107,1239.2958542073277,1225.3649940946461,1227.6833102182936,,03/07/25,Trondheim,Norway
WEBER Anja,Anja Weber,SUI,True,373,SWITZERLAND I,9,,9-1,Relay,1434.8741601005318,1308.9436757689875,1301.5585408217617,1293.9380397539007,1465.5531178844508,1376.2983554626578,1456.3058307673882,1375.4758007532537,1411.731218830078,6338.0,03/07/25,Trondheim,Norway
KAELIN Nadja,Nadja Kälin,SUI,True,227,SWITZERLAND I,9,,9-2,Relay,1349.2660796771347,1361.0569702999735,1315.0583527073024,1322.5883266046924,1258.5232857219237,1269.665130095562,1256.10105196582,1302.99671329513,1325.254882343281,6639.0,03/07/25,Trondheim,Norway
KAELIN Marina,Marina Kälin,SUI,True,219,SWITZERLAND I,9,,9-3,Relay,1377.5822354354884,1355.3652921041569,1318.1592985954585,1333.8535138481468,1343.2313666694697,1298.865155547364,1354.6921438952832,1318.9684335434758,1368.5182962840877,7433.0,03/07/25,Trondheim,Norway
FAEHNDRICH Nadine,Nadine Fähndrich,SUI,True,3635,SWITZERLAND I,9,,9-4,Relay,1603.3579425691537,1448.7591091498657,1433.3839944910476,1406.6877160468414,1684.4442605291283,1597.440479823672,1642.9859806723025,1564.9491846313608,1549.4626202120835,1590.0,03/07/25,Trondheim,Norway
