FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Year,Run1,Run2,Time,Points,Discipline,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
Petra Vlhova,Petra Vlhova,236,Slovakia,999,999,False,False,,,,,,Slalom,1631.7522442984205,1376.462377398667,1363.885333704305,1658.8586492913082,1590.0105586288,1368.1421581877603,1649.861083883099,1398.59928847624,1590.0105586288,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Andreja Slokar,Andreja Slokar,3736,Slovenia,999,999,False,False,,,,,,Slalom,1370.1872512292114,1265.5709253288426,1289.449622452448,1164.348714933821,1486.4504413921516,1291.1267136051497,1367.3547032660624,1288.4660969405484,1486.4504413921516,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Neja Dvornik,Neja Dvornik,3890,Slovenia,999,999,False,False,,,,,,Slalom,1460.9013480369915,1287.2304674765423,1271.665547081794,1395.1479100647357,1424.324391412403,1290.0757966953854,1460.360003462313,1257.7371201388632,1424.324391412403,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Lindsey Vonn,Lindsey Vonn,2,USA,999,999,False,False,,,,,,Slalom,1615.2341152777287,1551.9423831621675,1532.208200163151,1429.0976373220626,1405.7255775399794,1367.530708346461,1423.4190405102677,1607.5715822052664,1405.7255775399794,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Marta Rossetti,Marta Rossetti,3945,Italy,999,999,False,False,,,,,,Slalom,1349.525531265045,1265.5709253288426,1272.5450984839335,1278.1338576958733,1346.8809014895262,1289.5884390520164,1349.1158701267698,1261.9723462816562,1346.8809014895262,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Federica Brignone,Federica Brignone,127,Italy,999,999,False,False,,,,,,Slalom,1700.3503592699958,1532.7628690413485,1569.6757824754884,1645.1415234337449,1330.7961924590766,1408.0307994954533,1644.3812597016963,1628.27812060436,1330.7961924590766,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Maryna Gasienica Daniel,Maryna Gasienica Daniel,289,Poland,999,999,False,False,,,,,,Slalom,1437.703684335391,1290.7095746895689,1200.9309256724,1511.012866029967,1327.2150434807834,1279.269395066592,1530.5560763251713,1213.6752057259987,1327.2150434807834,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Anuk Brändli,Anuk Brändli,5277,Switzerland,999,999,False,False,,,,,,Slalom,1315.4363990671743,1265.5709253288426,1272.5450984839335,1258.3085081201832,1318.6770314275557,1289.5884390520164,1318.082367027675,1261.9723462816562,1318.6770314275557,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Alice Robinson,Alice Robinson,3891,New Zealand,999,999,False,False,,,,,,Slalom,1545.4279256025552,1266.5956061853694,1481.2133227640925,1621.6223764761903,1313.1212056248662,1278.6216463853468,1640.0965800813233,1431.3879463162564,1313.1212056248662,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Lara Gut-Behrami,Lara Gut-Behrami,10,Switzerland,999,999,False,False,,,,,,Slalom,1695.3570212970797,1560.414856632914,1627.5084603019388,1620.804432994614,1311.6365408172462,1308.790266581692,1636.047793145947,1682.7316577144456,1311.6365408172462,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
Vanessa Kasper,Vanessa Kasper,3023,Switzerland,999,999,False,False,,,,,,Slalom,1342.6823059639655,1265.5709253288426,1240.074049163391,1334.2858518998537,1311.015660863926,1296.2758630821386,1348.7467117734243,1233.698172369802,1311.015660863926,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
