"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_MassStart_Elo","Avg_IndividualCompact_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_MassStart_Pelo","Avg_IndividualCompact_Pelo","MassStart","Sex"
2013-03-09,"Lahti","Finland","Czechia","Team Sprint",2013,24,"World Cup",86,11,40,1346.93378745398,1353.02559556469,1269.49717573985,1307.28841259763,NA,1350.07482538154,1356.3309605277,1270.57604252012,1281.00943419963,NA,0,"M"
2013-03-09,"Lahti","Finland","Estonia","Team Sprint",2013,24,"World Cup",86,13,36,1186.87836981267,1192.19668985271,NA,1257.88780078567,NA,1188.45003864366,1201.63382158529,NA,1300,NA,0,"M"
2013-03-09,"Lahti","Finland","Finland","Team Sprint",2013,24,"World Cup",86,15,32,1266.86439565246,1240.77711035002,NA,NA,NA,1270.79815913233,1234.91467837329,NA,NA,NA,0,"M"
2013-03-09,"Lahti","Finland","France","Team Sprint",2013,24,"World Cup",86,9,46,1501.73752729418,1487.19729328932,1251.78617302791,1292.50063294846,NA,1502.65992279811,1497.58422524995,1243.27785062107,1299.52533867964,NA,0,"M"
2013-03-09,"Lahti","Finland","Germany","Team Sprint",2013,24,"World Cup",86,1,100,1595.41913098621,1587.96046757547,1378.35965480516,1390.6995329023,NA,1589.93324826907,1579.47521321969,1392.18782918254,1346.38480606191,NA,0,"M"
2013-03-09,"Lahti","Finland","Italy","Team Sprint",2013,24,"World Cup",86,14,34,1262.97981909103,1261.29933670049,1229.13303142642,1266.89845224342,NA,1263.37136564459,1262.47177178988,1216.62709579578,1283.13390716171,NA,0,"M"
2013-03-09,"Lahti","Finland","Japan","Team Sprint",2013,24,"World Cup",86,4,70,1524.50411330756,1533.82041402523,1263.99996412734,1289.62465725047,NA,1523.56704309371,1516.81595199102,1263.56205402041,1297.074171538,NA,0,"M"
2013-03-09,"Lahti","Finland","Norway","Team Sprint",2013,24,"World Cup",86,3,80,1576.26953644399,1567.67485159198,1317.93552265697,1326.05495382287,NA,1574.98091197506,1565.44655708432,1321.10061489055,1313.92520159852,NA,0,"M"
2013-03-09,"Lahti","Finland","Russia","Team Sprint",2013,24,"World Cup",86,17,28,1143.5109088163,1151.24827243519,NA,1233.14031663253,NA,1144.62472152463,1154.50924273664,NA,1256.17644322887,NA,0,"M"
2013-03-09,"Lahti","Finland","Slovenia","Team Sprint",2013,24,"World Cup",86,12,38,1216.68710824682,1204.29372548934,1250.7180598441,1252.34854234639,NA,1213.68610994982,1199.69898839294,1242.02124687542,1256.49160367378,NA,0,"M"
2013-03-09,"Lahti","Finland","USA","Team Sprint",2013,24,"World Cup",86,7,52,1424.20376599429,1462.4301684959,1365.64008544702,1369.08684548198,NA,1425.96862532485,1452.47104413095,1392.95773616617,1352.49887617158,NA,0,"M"
2013-12-14,"Ramsau","Austria","Austria","Team Sprint",2014,5,"World Cup",1106,6,55,1495.179114848,1492.84864253053,1405.16678893482,1373.7973208158,NA,1493.90069009785,1483.92115441878,1423.72563404096,1357.69841929782,NA,0,"M"
2013-12-14,"Ramsau","Austria","Czechia","Team Sprint",2014,5,"World Cup",1106,14,34,1375.10787167338,1388.79408014024,1247.62528254812,1302.86452663502,NA,1378.14573328564,1381.26669796577,1248.07526253118,1262.99800350171,NA,0,"M"
2013-12-14,"Ramsau","Austria","Estonia","Team Sprint",2014,5,"World Cup",1106,18,26,1191.35147899292,1200.34518134994,NA,1257.88780078567,NA,1194.94047172481,1197.19483103427,NA,1300,NA,0,"M"
2013-12-14,"Ramsau","Austria","Finland","Team Sprint",2014,5,"World Cup",1106,16,30,1340.27835374529,1350.28176671425,1314.17173503691,1371.78082307823,NA,1344.67214285125,1344.20676050125,1318.55015785447,1338.12256504135,NA,0,"M"
2013-12-14,"Ramsau","Austria","France","Team Sprint",2014,5,"World Cup",1106,11,40,1523.76474345612,1522.84037345312,1319.82018633672,1342.94788195616,NA,1528.4923425327,1519.96088814792,1323.3178662785,1326.3452058109,NA,0,"M"
2013-12-14,"Ramsau","Austria","Germany","Team Sprint",2014,5,"World Cup",1106,5,60,1515.16981847136,1510.54556371044,1378.35965480516,1390.6995329023,NA,1514.24432638488,1508.00120812459,1392.18782918254,1346.38480606191,NA,0,"M"
2013-12-14,"Ramsau","Austria","Italy","Team Sprint",2014,5,"World Cup",1106,3,80,1351.29988123297,1340.64958588123,1290.49347713177,1309.04339177152,NA,1340.59540669401,1353.45580514086,1288.81585544914,1287.04592396305,NA,0,"M"
2013-12-14,"Ramsau","Austria","Japan","Team Sprint",2014,5,"World Cup",1106,7,52,1511.49507273131,1518.63325837349,1263.99996412734,1289.62465725047,NA,1512.92340808153,1519.09627902593,1263.56205402041,1297.074171538,NA,0,"M"
2013-12-14,"Ramsau","Austria","Norway","Team Sprint",2014,5,"World Cup",1106,1,100,1569.74130092122,1557.15129633866,1317.93552265697,1326.05495382287,NA,1563.34382352618,1544.46082255347,1321.10061489055,1313.92520159852,NA,0,"M"
2013-12-14,"Ramsau","Austria","Poland","Team Sprint",2014,5,"World Cup",1106,20,22,1272.45806959414,1283.28512585445,1280.75545602306,NA,NA,1279.74622326942,1280.33544218171,1277.35936002713,NA,NA,0,"M"
2013-12-14,"Ramsau","Austria","Russia","Team Sprint",2014,5,"World Cup",1106,17,28,1212.17267197312,1214.41904426915,NA,NA,NA,1214.45282471141,1212.02878315583,NA,NA,NA,0,"M"
2013-12-14,"Ramsau","Austria","Slovenia","Team Sprint",2014,5,"World Cup",1106,8,49,1320.85631013882,1317.51962039919,NA,1271.26375240929,NA,1315.34555343859,1316.9891035286,NA,1292.08822161443,NA,0,"M"
2013-12-14,"Ramsau","Austria","USA","Team Sprint",2014,5,"World Cup",1106,4,70,1401.44172038972,1398.85604769991,1375.18687173655,1363.79429651486,NA,1399.9058245164,1387.95375347906,1404.18924944797,1341.48648507899,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Austria","Team Sprint",2014,12,"World Cup",1098,8,49,1487.66233946048,1488.79982082698,1465.75420927869,1412.17809312713,NA,1487.6658664406,1477.55583313572,1495.00495209257,1400.47363752149,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Czechia","Team Sprint",2014,12,"World Cup",1098,18,26,1230.36726803461,1231.9080094756,NA,NA,NA,1234.61956369546,1233.27106555053,NA,NA,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Estonia","Team Sprint",2014,12,"World Cup",1098,11,40,1239.24752528255,1245.49307335034,NA,1263.88780078567,NA,1235.38809927944,1241.57776163624,NA,1300,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Finland","Team Sprint",2014,12,"World Cup",1098,14,34,1345.39245484435,1355.91610439891,1314.17173503691,1371.78082307823,NA,1347.99348010846,1358.89182941811,1318.55015785447,1338.12256504135,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","France","Team Sprint",2014,12,"World Cup",1098,5,60,1502.78600141945,1498.46681444133,1319.82018633672,1342.94788195616,NA,1501.90205220098,1506.07200717616,1323.3178662785,1326.3452058109,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Germany","Team Sprint",2014,12,"World Cup",1098,1,100,1573.34045567269,1565.24437229466,1378.35965480516,1390.6995329023,NA,1567.76784041386,1562.74655567663,1392.18782918254,1346.38480606191,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Italy","Team Sprint",2014,12,"World Cup",1098,6,55,1358.7653320478,1358.63353381722,1259.81325427909,1279.98390512851,NA,1356.42326450794,1356.36446550296,1252.72147562246,1277.83006050511,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Japan","Team Sprint",2014,12,"World Cup",1098,12,38,1356.88491520419,1356.33367132879,1247.53084022985,1316.21435827742,NA,1359.27446238804,1363.73437828979,1238.271576741,1295.611257307,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Norway","Team Sprint",2014,12,"World Cup",1098,2,90,1601.51815758226,1593.26897836628,1397.5415422017,1350.72643288398,NA,1597.96078933004,1576.75684959368,1414.75475553141,1355.65394048989,NA,0,"M"
2014-01-12,"Chaux-Neuve","France","Poland","Team Sprint",2014,12,"World Cup",1098,19,24,1217.8419510756,1223.47419399788,NA,NA,NA,1223.01334026965,1234.08881009945,NA,NA,NA,0,"M"
